table_name,column_name,data_type,mode_value
planet_osm_polygon,tunnel,text,
planet_osm_polygon,water,text,
planet_osm_polygon,waterway,text,
planet_osm_polygon,website,text,https://lhalondon.com/properties/leinster-house/
planet_osm_polygon,wetland,text,
planet_osm_polygon,wheelchair,text,yes
planet_osm_polygon,width,text,
planet_osm_polygon,wood,text,
planet_osm_polygon,z_order,integer,0
planet_osm_polygon,tags,USER-DEFINED,{"area": "yes", "covered": "yes", "highway": "pedestrian", "osm_uid": "0", "surface": "concrete", "osm_user": "", "way_area": "802.95", "osm_version": "2", "osm_changeset": "0", "osm_timestamp": "2025-02-03T16:38:15Z"}
planet_osm_polygon,way,USER-DEFINED,{"type":"Polygon","crs":{"type":"name","properties":{"name":"EPSG:3857"}},"coordinates":[[[-11092.597639331936,6724961.487174857],[-11091.061430358988,6724948.624485028],[-11089.38050604801,6724934.489881345],[-11082.512093466064,6724936.120106881],[-11080.374759242834,6724936.639629373],[-11079.473071367407,6724944.396641556],[-11076.79027163929,6724949.771019231],[-11064.845690277172,6724955.44994883],[-11045.487230828221,6724952.601526232],[-11050.97528172433,6724960.286895141],[-11056.942006430849,6724966.395783297],[-11059.090472603159,6724968.670942227],[-11061.261202673628,6724969.029235031],[-11070.912602525405,6724969.029235031],[-11085.595643361037,6724968.240990885],[-11087.777505380587,6724968.115588415],[-11090.1931383308,6724967.219856538],[-11091.996514081651,6724965.1059297],[-11092.597639331936,6724961.487174857]]]}
planet_osm_roads,osm_id,bigint,1006300118
planet_osm_roads,access,text,no
planet_osm_roads,addr:city,text,
planet_osm_roads,addr:country,text,
planet_osm_roads,addr:housenumber,text,
planet_osm_roads,addr:postcode,text,
planet_osm_roads,addr:street,text,
planet_osm_roads,addr:state,text,
planet_osm_roads,addr:suburb,text,
planet_osm_roads,admin_level,text,
planet_osm_roads,aerialway,text,
planet_osm_roads,aeroway,text,
planet_osm_roads,amenity,text,
planet_osm_roads,area,text,
planet_osm_roads,barrier,text,
planet_osm_roads,bicycle,text,yes
planet_osm_roads,boundary,text,
planet_osm_roads,brand,text,
planet_osm_roads,bridge,text,yes
planet_osm_roads,building,text,
planet_osm_roads,building:levels,text,
planet_osm_roads,building:use,text,
planet_osm_roads,bus,text,yes
planet_osm_roads,construction,text,
planet_osm_roads,covered,text,yes
planet_osm_roads,cuisine,text,
planet_osm_roads,cutting,text,yes
planet_osm_roads,denomination,text,
planet_osm_roads,disused,text,
planet_osm_roads,embankment,text,yes
planet_osm_roads,foot,text,yes
planet_osm_roads,generator:source,text,
planet_osm_roads,harbour,text,
planet_osm_roads,highway,text,primary
planet_osm_roads,historic,text,
planet_osm_roads,horse,text,yes
planet_osm_roads,industrial,text,
planet_osm_roads,junction,text,circular
planet_osm_roads,landuse,text,
planet_osm_roads,layer,text,1
planet_osm_roads,leisure,text,
planet_osm_roads,lock,text,
planet_osm_roads,man_made,text,
planet_osm_roads,military,text,
planet_osm_roads,motorcar,text,yes
planet_osm_roads,name,text,Romford Road
planet_osm_roads,name:en,text,
planet_osm_roads,natural,text,
planet_osm_roads,office,text,
planet_osm_roads,oneway,text,yes
planet_osm_roads,operator,text,Transport for London
planet_osm_roads,place,text,
planet_osm_roads,population,text,
planet_osm_roads,power,text,
planet_osm_roads,power_source,text,
planet_osm_roads,public_transport,text,
planet_osm_roads,railway,text,rail
planet_osm_roads,ref,text,A11
planet_osm_roads,religion,text,
planet_osm_roads,route,text,
planet_osm_roads,service,text,yard
planet_osm_roads,shop,text,
planet_osm_roads,sport,text,
planet_osm_roads,surface,text,asphalt
planet_osm_roads,toll,text,yes
planet_osm_roads,tourism,text,
planet_osm_roads,tracktype,text,
planet_osm_roads,tunnel,text,yes
planet_osm_roads,water,text,
planet_osm_roads,waterway,text,
planet_osm_roads,website,text,
planet_osm_roads,wetland,text,
planet_osm_roads,wheelchair,text,
planet_osm_roads,width,text,
planet_osm_roads,wood,text,
planet_osm_roads,z_order,integer,37
planet_osm_roads,tags,USER-DEFINED,{"bus": "yes", "lit": "yes", "ref": "A117", "name": "Woolwich Manor Way", "lanes": "1", "access": "no", "oneway": "yes", "highway": "primary_link", "osm_uid": "0", "surface": "paved", "maxspeed": "20 mph", "osm_user": "", "sidewalk": "no", "osm_version": "13", "postal_code": "E6", "osm_changeset": "0", "osm_timestamp": "2025-09-05T19:13:02Z"}
planet_osm_roads,way,USER-DEFINED,{"type":"LineString","crs":{"type":"name","properties":{"name":"EPSG:3857"}},"coordinates":[[-10048.142516964044,6712188.476271333],[-10051.248330757177,6712178.942745379],[-10146.426495385427,6711872.838424015]]}
